langCode	pageTitle	resultFilePage	source	confidence_class	rating
ar	MARC1	File:Marc_marquez_moto2-2.JPG	ms	low	-1
ar	MARC1	File:Marc_Terenzi_2017.jpg	ms	low	-1
ar	MARC1	File:Place_Saint-Marc,_Rouen_20140514_1.jpg	ms	low	-1
ar	MARC1	File:Marc_Benjamin_1.jpg	ms	low	-1
ar	NGC_1082-2	File:G085_103_005988.jpg	ms	low	-1
ar	NGC_3314B	File:Hubble_view_of_NGC_3314_-_Heic1208a.tif	ms	low	0
ar	NGC_4377	File:NGC_4377.png	ms	low	1
ar	NGC_4377	File:NGC4377_-_SDSS_DR14.jpg	ms	low	1
ar	NGC_4377	File:Ngc_4377-2.png	ms	low	1
ar	NGC_4377	File:Celoria_-_Atlante_Astronomico,_1890_(page_XXXIII_-_fig_1).jpg	ms	low	-1
ar	NGC_4377	File:NGC_4377-1_und_4377-2_und_4377-3.png	ms	low	1
ar	NGC_4377	File:NGC_4377-1-2-3.png	ms	low	1
ar	NGC_4377	File:NGC_4377_SDSS.jpg	ms	low	1
ar	NGC_4471	File:Nigel_Adams_constituency_office,_High_Street,_Tadcaster_(26th_August_2019).jpg	ms	low	-1
ar	NGC_4471	File:NGC4471_-_SDSS_DR14.jpg	ms	low	1
ar	NGC_4918	File:NGC_4918_PanS.jpg	ms	low	1
ar	NGC_7189	File:The_globular_star_cluster_NGC_6362.jpg	ms	low	0
ar	NSS-7	File:Diplomat_arrives_at_NSS.jpg	ms	low	-1
ar	NSS-7	File:Raul_Lopez_2016_NSS_Conference.jpg	ms	low	-1
ar	NSS-7	File:NSS2014_7.jpg	ms	low	-1
ar	NSS-7	File:NSS_Team_2017.jpg	ms	low	-1
ar	NSS-7	File:NSS_Logo.jpg	ms	low	-1
ar	NSS-7	File:NSS_4.JPG	ms	low	-1
ar	PGRMC2	File:PBB_GE_PGRMC1_201120_s_at_fs.png	ms	low	0
ar	SLC8B1	File:Salt_Lake_City_Panorama.jpg	ms	low	-1
ar	SLC8B1	File:EB9_Salt_Lake_City.jpg	ms	low	-1
ar	SLC8B1	File:SLC_Lion_House.jpg	ms	low	-1
ar	VISSIM	File:Barnsley_fern_mutated_-Leptosporangiate_fern.PNG	ms	low	-1
ar	VISSIM	File:VisSim_screenshot.PNG	ms	low	1
ar	VISSIM	File:Barnsley_Fern_fractals_-_4_states.PNG	ms	low	-1
ar	آن_الصافي	File:AnnFeb2016.jpg	ms	low	1
ar	آن_الصافي	File:Smilodon_bite-ar.png	ms	low	-1
ar	آن_ميدلتون	File:Footpath_164_from_Kingsmead_Road_-_geograph.org.uk_-_1882803.jpg	ms	low	-1
ar	آن_ميدلتون	File:Footpath_to_Grevatt's_Lane_-_geograph.org.uk_-_1882609.jpg	ms	low	-1
ar	آيت_إسماعيل_(آيت_إسماعيل)	File:Marashi.JPG	ms	low	-1
ar	أبيات	File:Hubert_robert_orateur_et_autres_personnages_dans_des_ruines_romaines063438).jpg	ms	low	-1
ar	أبيات	File:Hubert_robert_caprice_architectural_avec_des_monuments_de_nimes063814).jpg	ms	low	-1
ar	أبيات	File:Straatpoëzie,_Raam_69,_Gouda_(01).jpg	ms	low	-1
ar	أحمد_عادل	File:صرد_احمر_الظهر.jpg	ms	low	-1
ar	أحمد_عادل	File:Adel_al-Jubeir_(3).jpg	ms	low	-1
ar	أحمد_عادل	File:Adel_al-Jubeir_(6).jpg	ms	low	-1
ar	أحمد_علي_(سياسي)	File:The_Famous_tomb_Of_Hazrat_Pir_Syed_Muhammad_Shah_Jillani_Baghdadi_Gambat.jpg	ms	low	-1
ar	إدوارد_ميلر	File:1921_Tacoma_Speedway_Eddie_Miller_Marvin_D_Boland_Collection_G521128.jpg	ms	low	-1
ar	إدوارد_ميلر	File:1921_Tacoma_Speedway_Eddie_Miller_Marvin_D_Boland_Collection_G521061.jpg	ms	low	-1
ar	إسماعيل_الخالدي	File:Mohamed_Hamzah_-_PIS_Kelas_II.jpg	ms	low	-1
ar	إليس_رايت	File:Alice_Morgan_Wright.png	ms	low	1
ar	إليس_رايت	File:Alice_Morgan_Wright_(Smith_class_1904).jpg	ms	low	-1
ar	ابن_يعقوب_(ابن_يعقوب)	File:Al-Kindi_stamp,_Egypt_(1975).jpg	ms	low	-1
ar	ابن_يعقوب_(ابن_يعقوب)	File:Joseph_Sold_by_His_Brothers_MET_DP802190.jpg	ms	low	-1
ar	ابن_يعقوب_(ابن_يعقوب)	File:BnF_MS_Gr510_folio_69_verso_-_detail_-_Triumph_of_Joseph.jpg	ms	low	-1
ar	ابن_يعقوب_(ابن_يعقوب)	File:Sa'di_-_Bostan_-_Yusuf_and_Zuleikha.jpg	ms	low	-1
ar	ابن_يعقوب_(ابن_يعقوب)	File:Gumpoldskirchen_Pfarrkirche_-_Fenster_3_Jakobus_minor.jpg	ms	low	-1
ar	الأولاد	File:هشام_بن_عبد_الملك.png	ms	low	-1
ar	الأولاد	File:ابراهيم_بن_حبيب.jpg	ms	low	-1
ar	الأولاد	File:الثلوج_عام_2012.jpeg	ms	low	-1
ar	الأولاد	File:ASC_Leiden_-_NSAG_-_van_Es_4_-_017_-_The_repair_of_a_truck_engine_-_Sennar_on_the_Blue_Nile,_Sudan_-_12-19-1961.tif	ms	low	-1
ar	الاتحاد_الألماني_لصناعة_الطيران	File:ILA_2010_Samstag_229.JPG	ms	low	1
ar	الان_دون	File:Bout_de_falaise_dans_la_mer_-_Oiseaux_-_Picture_Image_Photo_Photography_(11365114533).jpg	ms	low	-1
ar	الان_دون	File:The_captain_!_http---www.yakapecher.com_(11356261125).jpg	ms	low	-1
ar	الان_دون	File:اصغر_بروجكتر.jpg	ms	low	-1
ar	الحدود_التونسية_الليبية	File:Des_hôpitaux_tunisiens_se_mobilisent_pour_les_blessés_libyens_(5684082989).jpg	ms	low	0
ar	السويسة	File:أكرم.jpg	ms	low	-1
ar	الغوبلان	File:Chapelle_Saint-Louis_des_Gobelins,_Paris,_2019_(4).jpg	ms	low	-1
ar	الغوبلان	File:Chapelle_Saint-Louis_des_Gobelins,_Paris,_2019_(3).jpg	ms	low	0
ar	الغوبلان	File:Chapelle_Saint-Louis_des_Gobelins,_Paris,_2019_(6).jpg	ms	low	-1
ar	الغوبلان	File:Chapelle_Saint-Louis_des_Gobelins,_Paris,_2019_(2).jpg	ms	low	-1
ar	الغوبلان	File:Chapelle_Saint-Louis_des_Gobelins,_Paris,_2019_(7).jpg	ms	low	-1
ar	القرن_(جبل)	File:Amman_Citadel_139.JPG	ms	low	-1
ar	القرن_(جبل)	File:Amman_Citadel_11.JPG	ms	low	-1
ar	القرن_(جبل)	File:Amman_Citadel_123.JPG	ms	low	-1
ar	الكساد_الكبير_في_الولايات_المتحدة	File:Boy_in_corner_of_shack_home_near_Mays_Avenue._Oklahoma_City,_Oklahoma.jpg	ms	low	0
ar	الكساد_الكبير_في_الولايات_المتحدة	File:Paul_Taylor_with_Migrant_Workers,_Imperial_Valley,_California.jpg	ms	low	0
ar	الكساد_الكبير_في_الولايات_المتحدة	File:Mexican_Labor_Off_for_the_Melon_Fields_in_the_Imperial_Valley,_California.jpg	ms	low	0
ar	الكسندر_مورغان	File:CheLaCoubreMarch.jpg	ms	low	-1
ar	الكنيسة_الإنجيلية_الوطنية	File:L.E.C1.jpg	ms	low	0
ar	الكنيسة_الإنجيلية_الوطنية	File:L.E.C1.jpg	ms	low	1
ar	الكنيسة_الإنجيلية_الوطنية	File:Square-kufi-cross-istfen-1995-whole.jpg	ms	low	0
ar	اللوزة	File:Illu04_tongue-ar.jpg	ms	low	1
ar	المعبد_السماوي	File:Temple_of_Heaven_an_Imperial_Sacrificial_Altar_in_Beijing-113086.jpg	ms	low	1
ar	المفتش	File:المفتش_الثاني.png	ms	low	-1
ar	الهوية_2.0	File:Gesta_Francorum_et_aliorum_Hierosolimitanorum_(1).jpg	ms	low	-1
ar	الوزاني	File:الرأي_العام.png	ms	low	-1
ar	الوزاني	File:يوسف_الوزاني.jpg	ms	low	-1
ar	باتريك_آدامز	File:Suits_08_(8123803875).jpg	ms	low	1
ar	باتريك_آدامز	File:Paley_Center_'Suits'.jpg	ms	low	-1
ar	باتريك_آدامز	File:Patrick_J_Adams_3486.jpg	ms	low	1
ar	باتريك_آدامز	File:Suits_07_(8123821438).jpg	ms	low	1
ar	باتريك_آدامز	File:Meghan_Markle_and_Patrick_J._Adams_(Paley_Center_'Suits').jpg	ms	low	1
ar	باتريك_تشارلز_ميرفي	File:Patrick_Charles_Murphy.png	ms	low	1
ar	باطل	File:Sunrise-at-Venezuela.JPG	ms	low	-1
ar	برلمان_جمهورية_أذربيجان_الديمقراطية	File:Members_of_the_Parliament_of_the_Azerbaijan_Democratic_Republic_(1920).jpg	ms	low	1
ar	بطارية_نيكل-كادميوم	File:Privileg_PR_57_NC_-_Nickel–cadmium_batteries_by_Saft-4042.jpg	ms	low	1
ar	بلو_سكاي	File:Skye_Blue.jpg	ms	low	-1
ar	بناء_السلام	File:TAD_1.jpg	ms	low	0
ar	بناء_السلام	File:جامع_الكواز_2013-08-17_09-50.jpg	ms	low	-1
ar	بنفش	File:Anemone_coronaria_-_01.jpg	ms	low	-1
ar	بنفش	File:Argon_discharge_tube.jpg	ms	low	-1
ar	بنفش	File:Scabieuses_FR_2012.jpg	ms	low	-1
ar	بنفش	File:Xenon_discharge_tube.jpg	ms	low	-1
ar	بنفش	File:Chrysaora_fuscescens_Ripley's_Aquarium_of_Canada_1.JPG	ms	low	-1
ar	بنفش	File:Siberian_Iris_Iris_sibirica_Tall_Flower_2000px.jpg	ms	low	-1
ar	بنفش	File:Viola_IR.JPG	ms	low	-1
ar	بود	File:بود_سكاي_شيلد.jpg	ms	low	-1
ar	بود	File:چه_بی_ریا_بود_-_panoramio.jpg	ms	low	-1
ar	بود	File:شبی_بود_و_-_Flickr_-_kian1.jpg	ms	low	-1
ar	بود	File:Apollo_11_Launch2.jpg	ms	low	-1
ar	بوشيني_بنفسجي	File:Ruhland,_Grenzstr._3,_Veilchen-Rost_an_Duftveilchen_Frühling,_08.jpg	ms	low	1
ar	تاريخ_واسط	File:IraqProvinces_Wasit.jpeg	ms	low	-1
ar	تاريخ_واسط	File:IraqProvinces_Wasit.jpeg	ms	low	0
ar	تجسد	File:Piero_di_Cosimo_Incarnation_of_Jesus_01.jpg	ms	low	0
ar	تجسد	File:Stockholm_WDL417.png	ms	low	-1
ar	تجسد	File:Jewad_Selim_-_Woman_Selling_Material.jpg	ms	low	-1
ar	تجسد	File:Piero_di_cosimo,_incarnazione.jpg	ms	low	1
ar	تدرجية	File:Poulette_et_poussins.jpg	ms	low	-1
ar	تدرجية	File:Chrysolophus_pictusMx2018p2.jpg	ms	low	-1
ar	تدرجية	File:Bird_peacock.jpg	ms	low	-1
ar	تدرجية	File:Chrysolophus_pictus_-_Maroparque_01.jpg	ms	low	-1
ar	تدرجية	File:Tallinn_Zoo_Pavo_Linnaeus.jpg	ms	low	-1
ar	تدرجية	File:Pavo_cristatus_-_Jardin_botanique_-_Toulouse_-_2012-05-07.jpg	ms	low	0
ar	تصنيف_(مكتبة)	File:Supplement_to_Compendium_of_Materia_Medica_WDL4679.jpg	ms	low	-1
ar	توسكا	File:Tosca_D'Aquino.jpg	ms	low	-1
ar	توسكا	File:Sanglepp_Tarvasjõe_ääres.JPG	ms	low	-1
ar	توسكا	File:Alnus_glutinosa_02_by-dpc.jpg	ms	low	-1
ar	توسكا	File:چوب_توسکا.jpg	ms	low	-1
ar	توسكا	File:Nationaal_Park_Weerribben-Wieden._Vlonderpad_in_de_Wieden.JPG	ms	low	-1
ar	جاك_ريد	File:Jack_Reid_and_Robert_McAffee_in_1990.jpg	ms	low	-1
ar	جزر_شاطئي	File:Daucus_littoralis_(herbier).jpg	ms	low	1
ar	جمدة_نصر	File:Warka_Vase_at_the_Sumerian_Gallery,_Iraq_Museum.jpg	ms	low	0
ar	جمدة_نصر	File:Warka_Vase_at_the_Sumerian_Gallery,_Iraq_Museum,_Baghdad.jpg	ms	low	1
ar	جمدة_نصر	File:The_sacred_Warka_Vase_at_the_Sumerian_Gallery,_Iraq_Museum.jpg	ms	low	1
ar	جودي_هو	File:Ashura_in_qom_عاشورا_در_قم_05.jpg	ms	low	-1
ar	جودي_هو	File:Ashura_in_qom_عاشورا_در_قم_03.jpg	ms	low	-1
ar	جودي_هو	File:Ashura_in_qom_عاشورا_در_قم_04.jpg	ms	low	-1
ar	جودي_هو	File:Ashura_in_qom_عاشورا_در_قم_02.jpg	ms	low	-1
ar	جون_كار	File:Valigholi_Dilfanian_Tabriz_Memorial_HighSchool_Diploma.jpg	ms	low	-1
ar	جون_كار	File:MCCC_15_-_Ralph_Macchio_01_(17904827210).jpg	ms	low	-1
ar	جوي_أباد	File:Burastan_Cemetery_0871.jpg	ms	low	-1
ar	جوي_أباد	File:Kharoon19.jpg	ms	low	-1
ar	جوي_أباد	File:کنار_جوی_نشین.jpg	ms	low	-1
ar	جيمس_أ._جوزيف	File:Letter_Written_in_Cipher_on_Mourning_Paper_by_Rose_Greenhow_WDL2706.jpg	ms	low	-1
ar	حارة_اليهود	File:Map_Damascus_1958_1-10000_changed_Christian_and_Jewish_Quarter_with_former_Church.jpg	ms	low	-1
ar	حارة_اليهود	File:Ad-Disi_Mosque,_the_Jewish_Quarter,_Old_City,_Jerusalem.(24230014953).jpg	ms	low	1
ar	حارة_اليهود	File:ساحة_الحفصية.jpg	ms	low	-1
ar	حكومة_مؤقتة	File:Karenskiy_AF_1917.jpg	ms	low	-1
ar	حكومة_مؤقتة	File:Attack_on_a_Barricade_in_Paris,_1848_WDL2946.png	ms	low	-1
ar	خسرو_الجاف	File:Erbil_Monument.jpg	ms	low	1
ar	خسرو_الجاف	File:Symbolic_Tomb_of_Martyrs_below_the_Erbil_Monument.jpg	ms	low	-1
ar	خط_المستوى	File:Ombra-punto-cono.jpg	ms	low	0
ar	خط_المستوى	File:Ombra-retta-cono-parabola.jpg	ms	low	0
ar	خط_المستوى	File:Ombra-retta-iperbole.jpg	ms	low	0
ar	خط_المستوى	File:Monge-point.jpg	ms	low	0
ar	خط_المستوى	File:Ombra-punto-sfera-militare.jpg	ms	low	0
ar	خطاب_تقديم	File:حزب_مصر_بلدي_لوجو.jpg	ms	low	-1
ar	خطاب_تقديم	File:حزب_مصر_بلدي_شعار.jpg	ms	low	-1
ar	دان_لويد	File:Lloyd_Banks_performing_2019.jpg	ms	low	-1
ar	دي_بوي	File:Ambert,_Puy-de-Dôme,_France.Eglise_St_Jean_+_orgues_+_trompette_pascale._06.jpg	ms	low	-1
ar	دي_بوي	File:Compains_-_Brion-Haut_20200812.jpg	ms	low	-1
ar	دي_بوي	File:Conduite_forcée.jpg	ms	low	-1
ar	دي_بوي	File:Ambert_OSM_01.png	ms	low	-1
ar	دي_بوي	File:Saint_Nicholas_Church_of_Nonette_02.jpg	ms	low	-1
ar	دي_بوي	File:Basilique_du_Port,_Clermont-Ferrand,_Puy_de_Dôme_05.jpg	ms	low	-1
ar	دي_بوي	File:Carte_linguistique_du_Puy-de-Dôme.png	ms	low	-1
ar	ديفيد_باركر	File:David_Parker_Semi_Koroilavesau_2019.jpg	ms	low	1
ar	روبرت_درابر	File:Robert_draper_2007.jpg	ms	low	1
ar	ريان_ميتشيل	File:Ryan_Michelle_Bathe_(cropped).jpg	ms	low	-1
ar	سعد_يكن	File:ساعة_القشلة.jpg	ms	low	-1
ar	سكاي_ترين_مطار_سوكارنو_هاتا	File:SHIA_Station_3.jpg	ms	low	1
ar	سكوت_جاكسون	File:Jackson_Robert_Scott_MTV_2018.png	ms	low	-1
ar	سوبر_بي	File:Barksdale_Global_Power_Museum_September_2015_32_(Boeing_B-29_Superfortress).jpg	ms	low	-1
ar	سوبر_بي	File:Dave_s_Dream.jpg	ms	low	-1
ar	سوبر_بي	File:Barksdale_Global_Power_Museum_September_2015_33_(Boeing_B-29_Superfortress).jpg	ms	low	0
ar	سوبر_بي	File:Dave_s_dream_on_the_bombing_run.jpg	ms	low	-1
ar	سوبر_بي	File:X-1B_on_B-29_(E58-03663A).jpg	ms	low	0
ar	سي._إتش._دود	File:Damavand_mountain_from_Rineh_Iran_(5671)_-_Information_in_Page_2_-_panoramio.jpg	ms	low	-1
ar	شناص_(شناص)	File:ميناء_ولاية_شناص.JPG	ms	low	0
ar	شناص_(شناص)	File:غروب_في_الجبال.jpg	ms	low	1
ar	شون_تشين	File:Explanation_of_the_Telescope_WDL11434.jpg	ms	low	-1
ar	طالب_الدويك	File:Jafar_Grave_02.jpg	ms	low	-1
ar	طالب_الدويك	File:Jafar_Grave_01.jpg	ms	low	-1
ar	عبد_الكريم_بن_سعود_بن_عبد_العزيز_آل_سعود	File:Letter_to_King_Salman_bin_Abdulaziz.jpg	ms	low	-1
ar	عبد_اللطيف_ثنيان	File:حمود_الزيد_الخالد.tif	ms	low	-1
ar	عبد_الله_الرومي	File:Mti_members_in_prison.jpg	ms	low	-1
ar	عبد_الله_بن_عبد_الرحمن_بن_خالد_بن_الوليد	File:هشام_بن_عبد_الملك.png	ms	low	-1
ar	عبد_الله_صادق	File:علي_عثمان_اليمن.jpg	ms	low	-1
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_08.jpg	ms	low	-1
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_13.jpg	ms	low	-1
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_06.jpg	ms	low	0
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_11.jpg	ms	low	0
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_15.jpg	ms	low	-1
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_07.jpg	ms	low	0
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_12.jpg	ms	low	-1
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_03.jpg	ms	low	0
ar	عقرب_(شهر)	File:Autumn_in_Georgia,_Tbilisi_City_15.jpg	ms	low	0
ar	عقيدة	File:Paneism_flag.png	ms	low	0
ar	عقيدة	File:Rev_Ronald_Preston.jpg	ms	low	0
ar	عقيدة	File:146GaneshChaturthi19.jpg	ms	low	0
ar	عقيدة	File:Jennifer_Wasmuth.jpg	ms	low	-1
ar	عقيدة	File:Elias_Schad.png	ms	low	0
ar	عمر_علي_حسين	File:تمثال_عمر_مكرم_1.png	ms	low	-1
ar	عمر_علي_حسين	File:Ashura_in_qom_عاشورا_در_قم_14.jpg	ms	low	-1
ar	فرد_هوي	File:The_Temptation_MET_DP124058.jpg	ms	low	-1
ar	فرد_هوي	File:The_Sofa_MET_DT1924.jpg	ms	low	-1
ar	فرد_هوي	File:Stirpivm_insignium_nobilitatis,_tum_etiam_sodalium_-_KW_1900_A_020_-_044r.jpg	ms	low	-1
ar	فقير_محمد	File:Engineer_Lal_Mohammad_Durrani.jpg	ms	low	-1
ar	فقير_محمد	File:The_Famous_tomb_Of_Hazrat_Pir_Syed_Muhammad_Shah_Jillani_Baghdadi_Gambat.jpg	ms	low	-1
ar	فقير_محمد	File:ملهه.jpg	ms	low	-1
ar	فقير_محمد	File:The_Famous_tomb_Of_Hazrat_Pir_Syed_Muhammad_Shah_Jillani_Baghdadi1.jpg	ms	low	-1
ar	فولفغانغ_فيشر_(ضابط)	File:Generał_Wolfgang_Fischer_podczas_narady_z_oficerami_swojego_sztabu_(2-2033).jpg	ms	low	0
ar	كالوندرا	File:Caloundra_City_Council_Sign.jpg	ms	low	0
ar	كاميرا_آي_بي	File:Outdoor_wireless_security_camera_at_Nuthurst,_Sussex_1.jpg	ms	low	1
ar	كاميرا_آي_بي	File:Virtual_Railfan.jpg	ms	low	-1
ar	كاميرا_آي_بي	File:Fostoria,_CSX,_UP.jpg	ms	low	-1
ar	كلوفر	File:Papers_of_JT_Clover,_JT_Clover_administering_Wellcome_L0031204.jpg	ms	low	-1
ar	كندورة_(المغرب)	File:Lutte_traditionnelle_de_jeunes_04.jpg	ms	low	-1
ar	كندورة_(المغرب)	File:Camerounais_en_tenue_traditionnelle.jpg	ms	low	-1
ar	كندورة_(المغرب)	File:Lancement_Mbam'Art_2015.jpg	ms	low	-1
ar	كندورة_(المغرب)	File:Mariage_2.jpg	ms	low	-1
ar	كندورة_(المغرب)	File:Jeux_d'enfants12.jpg	ms	low	-1
ar	كندورة_(المغرب)	File:Comice_agro-pastoral_1.jpg	ms	low	-1
ar	كوفاروباياس	File:Miguel_Joarizti_(1887)_Covarrubias,_claustro_ojival_de_la_Colegiata.png	ms	low	-1
ar	كوفاروباياس	File:Miguel_Joarizti_(1887)_Covarrubias,_torre_de_la_Villa.png	ms	low	1
ar	كوفاروباياس	File:Alcázar_de_Toledo._Patio.jpg	ms	low	0
ar	لعب_(نشاط)	File:IMG-20190228-WA0104.jpg	ms	low	0
ar	لعب_(نشاط)	File:De_jongens_vermaaklyke_tydkorting-Catchpenny_print-Borms_0500.jpeg	ms	low	1
ar	لغة_أجنبية	File:Infografía._Diferencia_entre_segunda_lengua_y_lengua_extranjera.png	ms	low	0
ar	لغة_مساعدة_دولية	File:Interlingua-IL.png	ms	low	0
ar	لغة_مساعدة_دولية	File:La-peano.png	ms	low	-1
ar	لغة_مساعدة_دولية	File:Green_energy_(49226780186).jpg	ms	low	-1
ar	لو_رو	File:Hédi_Majdoub_et_Bruno_Le_Roux,_14_décembre_2016.jpg	ms	low	-1
ar	مارسيلو_دي_سوزا	File:Marcelo_Rebelo_de_Sousa_e_Papa_Francisco.png	ms	low	1
ar	مارسيلو_دي_سوزا	File:Marcelo_Rebelo_de_Sousa_em_2018.jpg	ms	low	1
ar	مانشستر_الكبرى	File:Glaze_Brook_-_geograph.org.uk_-_569492.jpg	ms	low	0
ar	مانشستر_الكبرى	File:Glaze_Brook_-_geograph.org.uk_-_569492.jpg	ms	low	-1
ar	مانويل_خوسيه_دياز	File:Denain_-_Grand_Prix_de_Denain,_13_avril_2017_(B098).JPG	ms	low	-1
ar	ماورو	File:Mauro_Simonetti_1968.jpg	ms	low	-1
ar	ماورو	File:Mauro_Tassotti_(cropped).jpg	ms	low	-1
ar	ماورو	File:Mauro_Simonetti_1972.jpg	ms	low	-1
ar	ماورو	File:Giovanni_Bramucci,_Vittorio_Marcelli,_Mauro_Simonetti_and_Pierfranco_Vianelli_1968.jpg	ms	low	-1
ar	مثالية	File:Persawahan_yang_hijau.jpg	ms	low	-1
ar	مثالية	File:British_Empire_Throughout_the_World,_Exhibited_in_One_View_WDL49.png	ms	low	-1
ar	مثالية	File:Berlin_Cathedral,_Berliner_Dom_+_Boat_Tour,_Schiffstour.jpg	ms	low	-1
ar	مثالية	File:Gray82-ar.png	ms	low	-1
ar	مثالية	File:Johann_gottlieb_fichte.jpg	ms	low	0
ar	مجدي_إمام	File:من_امام_مقر_الحزب.jpg	ms	low	-1
ar	مجلس_التقييم	File:Dr_Mostafa_Sherbiny.jpg	ms	low	-1
